,users,followingRatio,order,freq,pcaInput,_1,_2,prediction
0,AB,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",0.5963421601596044,1.0957026701787582,1
1,Albert,0.1,0.9166666666666666,0.7692307692307693,"[0.1,0.9166666666666666,0.7692307692307693]",0.7264670563223052,0.9335987239943639,1
2,Aleksander Valant,1.0,1.0,0.125,"[1.0,1.0,0.125]",-0.281793073021564,1.303623715981527,2
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,"[0.125,0.7272727272727273,0.4166666666666667]",0.39263527142636756,0.7458601012429179,3
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]",0.8660016705471275,1.0164435003825745,1
5,alesj,0.33333333333333337,0.75,0.6,"[0.33333333333333337,0.75,0.6]",0.43223624933029675,0.8547335427105253,3
6,alexhana,0.25,0.75,0.4,"[0.25,0.75,0.4]",0.3140993299946101,0.811986373275751,3
7,alja,0.14285714285714285,1.0,0.875,"[0.14285714285714285,1.0,0.875]",0.8033399333349625,1.0330689770840162,1
8,Alja��,0.1,0.8,0.2727272727272727,"[0.1,0.8,0.2727272727272727]",0.30039476056124703,0.7954496174058518,3
9,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,"[0.2,0.3333333333333333,0.2307692307692308]",0.134223552917051,0.3968192107063921,0
10,Ana Horvath,0.2,0.75,0.6,"[0.2,0.75,0.6]",0.5054346112549202,0.8056180801974195,1
11,Ana Stadler,0.5,1.0,0.25,"[0.5,1.0,0.25]",0.09512946890738422,1.1269719849099324,2
12,AnaPetar,1.0,1.0,0.25,"[1.0,1.0,0.25]",-0.17936438830995377,1.311154969334079,2
13,AnBn,0.14285714285714285,1.0,0.5,"[0.14285714285714285,1.0,0.5]",0.49605387920013183,1.0104752170263602,1
14,Ando Saina,0.09090909090909091,1.0,1.0,"[0.09090909090909091,1.0,1.0]",0.9342874603548676,1.0214643359509425,1
15,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,"[0.11111111111111112,0.9,0.8181818181818182]",0.757733026024705,0.9251788729862996,1
16,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,"[0.14285714285714285,0.7272727272727273,0.5]",0.4511177091906314,0.7574589005407197,3
17,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,"[0.3333333333333333,0.2857142857142857,0.125]",-0.0334912324709479,0.39538462214408254,0
18,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,"[0.3333333333333333,0.9,0.2727272727272727]",0.18877422286330614,0.9741743261818551,3
19,Andro Zuanic,0.5,0.6666666666666666,0.5,"[0.5,0.6666666666666666,0.5]",0.24506485276343742,0.8327923270214757,3
20,andrzej,0.3333333333333333,0.6666666666666666,0.5,"[0.3333333333333333,0.6666666666666666,0.5]",0.33656280516921677,0.7713979988800935,3
21,ane,1.0,1.0,0.125,"[1.0,1.0,0.125]",-0.281793073021564,1.303623715981527,2
22,Anela,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]",0.040207483340216954,0.8177298203163716,3
23,Ankica,0.5,1.0,0.09090909090909093,"[0.5,1.0,0.09090909090909093]",-0.03523431163466516,1.1173867533703208,2
24,Annie,0.07692307692307693,1.0,1.0,"[0.07692307692307693,1.0,1.0]",0.9419656102071008,1.016312364358659,1
25,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,"[0.3333333333333333,1.0,0.3333333333333333]",0.2549132111209037,1.0705984923369183,3
26,anton jane��,0.2,1.0,0.3636363636363637,"[0.2,1.0,0.3636363636363637]",0.3529427693392509,1.0233087882123098,3
27,Anze-G,1.0,1.0,0.25,"[1.0,1.0,0.25]",-0.17936438830995377,1.311154969334079,2
28,Anzze99,0.16666666666666666,0.875,0.6666666666666666,"[0.16666666666666666,0.875,0.6666666666666666]",0.5989585781699559,0.9133216947464227,1
29,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,"[0.19999999999999998,1.0,0.7142857142857143]",0.6402751835951964,1.0444354209934945,1
30,benjamin,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]",-0.24765017811769394,1.3061341337657109,2
31,blaz02,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]",-0.24765017811769394,1.3061341337657109,2
32,Bojan1825,0.125,1.0,0.6666666666666666,"[0.125,1.0,0.6666666666666666]",0.6424288108590884,1.0139389244336625,1
33,BORIS MREVLJE,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.10972790051583625,1.1119094782048284,2
34,Bo��tjan M.,0.16666666666666669,1.0,0.7142857142857143,"[0.16666666666666669,1.0,0.7142857142857143]",0.6585747740763523,1.032156555365218,1
35,BostjanH,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]",0.013788531701040913,0.9425074448443649,2
36,Bo��tjanK,0.08333333333333333,1.0,0.6153846153846154,"[0.08333333333333333,1.0,0.6153846153846154]",0.6232812744634625,0.9955005974331674,1
37,Branklo,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",0.5963421601596044,1.0957026701787582,1
38,BrunoB,0.14285714285714288,0.875,0.6666666666666666,"[0.14285714285714288,0.875,0.6666666666666666]",0.6120297142279244,0.9045510764405109,1
