,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,"[0.125,0.25,0.4]",0.33330750080227545,0.2660451374508195,"[0.33330750080227545,0.2660451374508195]","[0.0005099416263576213,2.07599630432111e-15,2.07599630432111e-15,0.9994900583736382]",3
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]",-0.01697367237159067,1.0797538684700825,"[-0.01697367237159067,1.0797538684700825]","[0.01416598839251648,2.348522455337895e-17,0.9819057719353009,0.003928239672182584]",2
2,0126c792-ca6a-61a6-a96a-42bf5fc1,0.125,0.75,0.0,"[0.125,0.75,0.0]",0.07428598568629212,0.7512566101110337,"[0.07428598568629212,0.7512566101110337]","[0.35784295567510205,1.919916983999314e-16,2.3848629554914005e-13,0.6421570443246591]",3
3,012d8099-01c6-f99f-55ef-151df7a5,0.08333333333333333,0.4,0.0,"[0.08333333333333333,0.4,0.0]",0.03188441548024602,0.4058754179473538,"[0.03188441548024602,0.4058754179473538]","[0.0004169449002364621,2.2309138045697336e-16,2.2309138045697336e-16,0.9995830550997631]",3
4,01d960ae-5d88-45e9-e235-6f68599c,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]",-0.24901697894488434,1.2359106451141575,"[-0.24901697894488434,1.2359106451141575]","[0.004211670996713654,2.0832810822312643e-16,0.9957112126637541,7.711633953210259e-05]",2
5,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,"[0.5,0.5,0.14285714285714285]",-0.019838506686028434,0.6272541508392502,"[-0.019838506686028434,0.6272541508392502]","[0.0661965521987478,3.10563162803625e-16,3.10563162803625e-16,0.9338034478012516]",3
6,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.044444224778805,0.9236235661995092,"[1.044444224778805,0.9236235661995092]","[0.00021407314947433776,0.9997859266705146,3.1206907173933495e-18,1.800111101762834e-10]",1
7,04a7d779-f053-b1a3-386e-82d69979,0.5,0.8333333333333334,0.0,"[0.5,0.8333333333333334,0.0]",-0.0850468484292764,0.9475094610329806,"[-0.0850468484292764,0.9475094610329806]","[0.8322203395639142,6.783178077182057e-16,0.00017757211923313752,0.16760208831685214]",0
8,068616a9-816f-e8e4-d737-6ddba1df,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",0.0015755132285669715,0.7111605358331619,"[0.0015755132285669715,0.7111605358331619]","[0.2348079127078092,2.8992554769140297e-16,2.8992854709311933e-16,0.7651920872921901]",3
9,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]",-0.13142959678818533,1.2075209106673712,"[-0.13142959678818533,1.2075209106673712]","[0.0069270369449321864,1.227425220587616e-16,0.992244685497899,0.0008282775571686633]",2
