,users,totalVidsRatio,intensityNormalized,order,features,probability,prediction
32,roman113,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[1.1111781485798928e-17,1.1111786903429153e-17,1.8490476223829247e-11,0.9999999999815095]",3
33,Safet,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]","[8.885931704912751e-17,1.61323183699669e-11,0.9999999999838666,1.0467401072120252e-15]",2
34,Spasic Vladimir,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]","[5.196981146795557e-17,5.196981149217427e-17,0.9999999912420896,8.757910292417465e-09]",2
35,stinfio,1.0,0.13333333333333333,0.9166666666666666,"[1.0,0.13333333333333333,0.9166666666666666]","[9.021303420460125e-18,0.9999992550942426,7.4490575740466e-07,9.021303420460125e-18]",1
36,Tone,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[1.860358658569566e-16,1.860358658569566e-16,1.860358668977107e-16,0.9999999999999994]",3
37,Toni Petkovic,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]","[1.6834363692030976e-17,0.9999999999981328,1.8671506350267293e-12,1.6834363692030976e-17]",1
38,Valentin,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]","[3.216089929980386e-17,0.9999796251941822,2.0374805817761512e-05,3.216089943091493e-17]",1
39,Vanda,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]","[1.0,1.7830043009107648e-30,6.0035664784590685e-21,1.0722370941514316e-17]",0
40,varga,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]","[8.713539173534645e-18,0.999999991552185,8.447814990553615e-09,8.713539173534645e-18]",1
41,Vedran Nikolic,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]","[5.293966421963634e-17,7.814156782389385e-12,5.293966421963634e-17,0.9999999999921857]",3
42,��S,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[1.860358658569566e-16,1.860358658569566e-16,1.860358668977107e-16,0.9999999999999994]",3
