,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,AB,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.40552974309843315,1.208720022617043,"[0.40552974309843315,1.208720022617043]","[0.9960075956775999,1.7836070800389288e-07,0.0035938552154742985,0.00039837074621768394]",0
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078]",0.42710594580191935,1.1408990632890723,"[0.42710594580191935,1.1408990632890723]","[6.68760921635263e-17,8.442146797646133e-05,0.9782902349510156,0.021625343581007855]",2
2,Aleksander Valant,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]",-0.6192651656138992,1.3091861343269071,"[-0.6192651656138992,1.3091861343269071]","[4.673430859716138e-16,0.9999994759092812,4.673433164985135e-16,5.240907178938685e-07]",1
3,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25,"[0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25]",0.15606863035290314,0.8597693929984855,"[0.15606863035290314,0.8597693929984855]","[9.920341464132597e-17,0.27918542791253853,4.391408208450025e-06,0.720810180679253]",3
4,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333,"[0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333]",0.6310771066792412,1.2025056661156381,"[0.6310771066792412,1.2025056661156381]","[0.9974332129042645,5.229436823846985e-10,0.0025364534473582465,3.0333125433536946e-05]",0
5,alesj,0.05555555555555556,0.75,0.6,0.4,"[0.05555555555555556,0.75,0.6,0.4]",0.18511177172458632,1.0147599889182446,"[0.18511177172458632,1.0147599889182446]","[1.0773841388299865e-16,0.2777747294485662,0.0971407274667064,0.6250845430847273]",3
6,alja,0.0119047619047619,1.0,0.875,0.125,"[0.0119047619047619,1.0,0.875,0.125]",0.5749594271303314,1.203943221745005,"[0.5749594271303314,1.203943221745005]","[0.9977583374708165,1.4327572683812083e-09,0.002203246158010364,3.841493841581921e-05]",0
7,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693]",0.07964594351674094,0.4126075438129439,"[0.07964594351674094,0.4126075438129439]","[6.425936346465032e-15,5.442667928939527e-08,6.425936346465032e-15,0.999999945573308]",3
8,AnaPetar,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.33140448921344023,1.2533545952217526,"[-0.33140448921344023,1.2533545952217526]","[1.9871191140441982e-16,0.9982181126463561,8.918101779745485e-12,0.0017818873447255016]",1
9,AnBn,0.05952380952380953,1.0,0.5,0.4166666666666667,"[0.05952380952380953,1.0,0.5,0.4166666666666667]",0.11838190374562602,1.1838392646446754,"[0.11838190374562602,1.1838392646446754]","[3.5821803525582807e-16,0.08972085292644821,0.07773321423003343,0.8325459328435181]",3
10,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,0.4166666666666667,"[0.05952380952380953,0.7272727272727273,0.5,0.4166666666666667]",0.10327772384151679,0.9644615918665068,"[0.10327772384151679,0.9644615918665068]","[7.158272638597977e-17,0.41068574435458,0.001679029145203296,0.5876352265002166]",3
11,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,0.7272727272727273,"[0.2222222222222222,0.9,0.2727272727272727,0.7272727272727273]",-0.29685122496782457,1.168044450342169,"[-0.29685122496782457,1.168044450342169]","[1.1458464110913304e-16,0.993687423222076,2.15074648345848e-09,0.006312574627177404]",1
12,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,0.5,"[0.08333333333333333,0.6666666666666666,0.5,0.5]",0.039327386279749965,0.9539744629997298,"[0.039327386279749965,0.9539744629997298]","[6.908099257357533e-17,0.4402396695418422,0.00018744563334540849,0.5595728848248124]",3
13,andrzej,0.027777777777777773,0.6666666666666666,0.5,0.25,"[0.027777777777777773,0.6666666666666666,0.5,0.25]",0.21518739607721632,0.8417368046596044,"[0.21518739607721632,0.8417368046596044]","[1.3730836245045062e-16,0.3080083898993014,2.7035402857926873e-06,0.6919889065604127]",3
