,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,prediction
46,35813a40-7aa6-5336-237b-c93f1759,0.5833333333333334,0.8571428571428571,0.0,"[0.5833333333333334,0.8571428571428571,0.0]",-0.020392992489763312,0.9908164836098667,"[-0.020392992489763312,0.9908164836098667]",1
47,35ce5334-aefb-9a61-d1c3-7f01a776,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",0.12558159233946506,1.1091691313483647,"[0.12558159233946506,1.1091691313483647]",1
48,35daa597-4591-5a82-57a9-1fba2635,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",0.9012163189633093,0.8531716106154801,"[0.9012163189633093,0.8531716106154801]",2
49,367365a7-8d2a-3b00-f3e3-f877be3c,0.20833333333333331,0.8333333333333334,0.2857142857142857,"[0.20833333333333331,0.8333333333333334,0.2857142857142857]",0.3781747951997535,0.8129355417258117,"[0.3781747951997535,0.8129355417258117]",1
50,3681eecc-7864-c1c1-0024-4d4234be,0.75,1.0,0.1,"[0.75,1.0,0.1]",0.034719507769813335,1.1653361735253556,"[0.034719507769813335,1.1653361735253556]",1
51,36a67ef1-5f22-7846-3f95-faec67c9,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
52,37ada581-75c2-560e-2eb3-3db3a231,0.3333333333333333,0.5,0.2,"[0.3333333333333333,0.5,0.2]",0.16553880074280175,0.5503747522574257,"[0.16553880074280175,0.5503747522574257]",0
53,37d73652-37e1-cc5f-6c84-3b9a528c,0.016666666666666663,0.8,0.8333333333333334,"[0.016666666666666663,0.8,0.8333333333333334]",0.9269254068280098,0.6511451167379614,"[0.9269254068280098,0.6511451167379614]",2
54,380773a6-f975-22c8-187e-e40fe702,0.027777777777777773,0.6666666666666666,0.75,"[0.027777777777777773,0.6666666666666666,0.75]",0.8151726297265227,0.5399832535076717,"[0.8151726297265227,0.5399832535076717]",2
55,3be7d5a2-f78e-3472-e5ac-fa27ed08,0.16666666666666666,0.4,0.0,"[0.16666666666666666,0.4,0.0]",0.03421008611718464,0.428818883930534,"[0.03421008611718464,0.428818883930534]",0
56,3c370e25-1bd5-c34b-ec40-31117752,0.25,0.3333333333333333,0.25,"[0.25,0.3333333333333333,0.25]",0.20067761381327315,0.36093577245128583,"[0.20067761381327315,0.36093577245128583]",0
57,3d524e1d-934c-6d53-022b-983c91c3,0.05555555555555556,1.0,0.4,"[0.05555555555555556,1.0,0.4]",0.5842328516977872,0.9064423680439165,"[0.5842328516977872,0.9064423680439165]",2
58,3d7d0f75-dda5-644d-e527-018ff340,0.14583333333333334,0.7,0.09090909090909093,"[0.14583333333333334,0.7,0.09090909090909093]",0.19962422124277163,0.6925218010357729,"[0.19962422124277163,0.6925218010357729]",0
59,3dc06a27-afe4-b105-1f3c-997851c7,0.2222222222222222,0.7,0.18181818181818185,"[0.2222222222222222,0.7,0.18181818181818185]",0.2473243371578579,0.7052676957279965,"[0.2473243371578579,0.7052676957279965]",0
60,3e4346e0-6285-8776-f373-101eac22,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
61,3e713aeb-dcb2-d6a8-962f-635df3e8,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",0.12004638577644117,1.0455507821257528,"[0.12004638577644117,1.0455507821257528]",1
62,3fc2e2fe-697a-3255-1a17-4204819d,0.08333333333333333,0.7142857142857143,0.5,"[0.08333333333333333,0.7142857142857143,0.5]",0.5862530356491995,0.6341306002722057,"[0.5862530356491995,0.6341306002722057]",2
63,404bc704-6703-c3c0-815e-55c756c5,0.0,0.8571428571428571,0.625,"[0.0,0.8571428571428571,0.625]",0.7667487909619075,0.7259868203101214,"[0.7667487909619075,0.7259868203101214]",2
64,4196e8ee-e405-a1e1-4a7f-7d9149a5,0.25,1.0,0.25,"[0.25,1.0,0.25]",0.3727649922868462,0.9873124866669024,"[0.3727649922868462,0.9873124866669024]",1
65,42779e7e-90bc-7eac-5aa8-a9874f90,0.047619047619047616,1.0,0.3636363636363637,"[0.047619047619047616,1.0,0.3636363636363637]",0.5557827733433797,0.9085358976857565,"[0.5557827733433797,0.9085358976857565]",1
66,440d90ef-c7d7-0530-608e-8c0fc440,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]",0.8677438453081832,0.8594725916657476,"[0.8677438453081832,0.8594725916657476]",2
67,459f5319-edaf-cd53-126d-fdfb12a5,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
68,45d78fe4-7d30-3b18-371e-57bb06c7,0.6666666666666666,1.0,0.1111111111111111,"[0.6666666666666666,1.0,0.1111111111111111]",0.07893834207671187,1.1374289961466282,"[0.07893834207671187,1.1374289961466282]",1
69,4641102c-f3d3-3878-6d00-1c49a28c,0.14583333333333334,0.7,0.2727272727272727,"[0.14583333333333334,0.7,0.2727272727272727]",0.3583132656259901,0.6694368063024867,"[0.3583132656259901,0.6694368063024867]",0
70,4a97a9b2-74fe-c9f3-625f-0176bddf,0.016666666666666663,0.8,0.3333333333333333,"[0.016666666666666663,0.8,0.3333333333333333]",0.490530534774159,0.7146288522544983,"[0.490530534774159,0.7146288522544983]",0
71,4b21d918-4ac0-0787-3094-37c9432c,0.2222222222222222,0.6,0.2727272727272727,"[0.2222222222222222,0.6,0.2727272727272727]",0.30085575257843117,0.599768691229011,"[0.30085575257843117,0.599768691229011]",0
72,4bd540f6-e34d-4592-7680-b2735389,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
73,4c4ac589-35f5-76e3-d0a3-fedab6c6,0.027777777777777773,0.7142857142857143,0.5,"[0.027777777777777773,0.7142857142857143,0.5]",0.6092671493048526,0.6164663151384844,"[0.6092671493048526,0.6164663151384844]",2
74,4cc576c8-f218-94be-fef3-4b6fd86e,0.0972222222222222,0.8333333333333334,0.3076923076923077,"[0.0972222222222222,0.8333333333333334,0.3076923076923077]",0.44338521468925085,0.7748164775895103,"[0.44338521468925085,0.7748164775895103]",1
75,4d0232bc-202c-ee3a-e58c-e543848c,0.013888888888888895,1.0,0.7142857142857143,"[0.013888888888888895,1.0,0.7142857142857143]",0.8757987850876618,0.8532900918689452,"[0.8757987850876618,0.8532900918689452]",2
76,4debb215-7398-77ba-2243-94adbd31,0.16666666666666666,1.0,0.1111111111111111,"[0.16666666666666666,1.0,0.1111111111111111]",0.28606536497758944,0.9784504299431362,"[0.28606536497758944,0.9784504299431362]",1
