,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,0.6,"[0.125,0.25,0.4,0.6]",-0.3321858973560018,0.18535113678727885,"[-0.3321858973560018,0.18535113678727885]","[0.0007610823412215789,1.628962705793491e-08,6.180759439471604e-16,6.180759439471604e-16,0.9992389013691501]",4
1,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,0.8571428571428571,"[0.5,0.5,0.14285714285714285,0.8571428571428571]",-0.8548584596821058,0.41499484498756556,"[-0.8548584596821058,0.41499484498756556]","[0.9200734735888504,0.03287427320877312,6.688617061815832e-16,6.688616675001994e-16,0.04705225320237518]",0
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-1.1419961710221356,0.9249165010432264,"[-1.1419961710221356,0.9249165010432264]","[3.2886023155499937e-09,4.901019499063158e-08,0.002123994783760345,0.9978759528818892,3.5553029210934714e-11]",3
3,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-1.1419961710221356,0.9249165010432264,"[-1.1419961710221356,0.9249165010432264]","[3.2886023155499937e-09,4.901019499063158e-08,0.002123994783760345,0.9978759528818892,3.5553029210934714e-11]",3
4,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571]",-0.8433146929976301,0.2507012814386884,"[-0.8433146929976301,0.2507012814386884]","[0.3270143078381381,8.960332898588784e-05,1.533233165229216e-15,1.533233165229216e-15,0.6728960888328729]",4
5,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.6241780690542215,0.9074366773841558,"[-0.6241780690542215,0.9074366773841558]","[3.8764838114795634e-05,0.0004488347197854286,6.693490473731025e-06,0.9995008397802773,4.867171348717698e-06]",3
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,0.5,"[0.08333333333333333,0.6666666666666666,0.25,0.5]",-0.3319282091316923,0.6014802620850669,"[-0.3319282091316923,0.6014802620850669]","[0.4216539906258462,0.5027439343775446,0.00012492762932634737,1.1508630632100654e-16,0.07547714736728264]",1
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666]",0.17557137175901238,0.7973649154776238,"[0.17557137175901238,0.7973649154776238]","[0.13158208702762947,0.8079390624672702,1.4688036641509024e-09,3.3102202428751265e-16,0.06047884903629642]",1
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,0.875,"[0.5833333333333334,0.8571428571428571,0.125,0.875]",-0.9481454112716587,0.7704311606726503,"[-0.9481454112716587,0.7704311606726503]","[0.00026577768116428787,0.00261648708257265,0.9971163941180249,2.8380494345288007e-11,1.3410898576415272e-06]",2
9,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]",-0.60109053568527,0.5788495502864015,"[-0.60109053568527,0.5788495502864015]","[0.4990739963271419,0.47730716426570935,5.438082179683845e-06,1.9768578355372005e-16,0.023613401324968978]",0
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.08333333333333333,0.8571428571428571,0.5,0.5,"[0.08333333333333333,0.8571428571428571,0.5,0.5]",-0.23853973611333054,0.7986449850027193,"[-0.23853973611333054,0.7986449850027193]","[0.11091324429206366,0.8680611483821871,0.00032864482624280373,1.9760057515514593e-13,0.02069696249930885]",1
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.125,0.75,0.4,0.6,"[0.125,0.75,0.4,0.6]",-0.366817197409429,0.6782318274339103,"[-0.366817197409429,0.6782318274339103]","[0.2233568143366268,0.7378659265230626,0.01599572595636336,1.0796211499616808e-16,0.02278153318394698]",1
12,1f7f3fd7-7087-1461-cf43-9add2172,0.027777777777777773,0.6666666666666666,0.75,0.25,"[0.027777777777777773,0.6666666666666666,0.75,0.25]",0.08551229966507881,0.6517270383771164,"[0.08551229966507881,0.6517270383771164]","[0.2864897868745207,0.5447426073486771,4.197637732994354e-05,3.035721993359624e-16,0.16872562939947197]",1
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.08333333333333333,0.4,0.3333333333333333,0.16666666666666666,"[0.08333333333333333,0.4,0.3333333333333333,0.16666666666666666]",-0.04881699638574151,0.3895479207271834,"[-0.04881699638574151,0.3895479207271834]","[0.047044190830631355,0.0005984924328802792,8.99800051412724e-16,8.973175271379817e-16,0.9523573167364866]",4
14,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9166666666666666,0.9090909090909092,0.08333333333333333,0.9166666666666666,"[0.9166666666666666,0.9090909090909092,0.08333333333333333,0.9166666666666666]",-1.192799833975631,0.8405415845280878,"[-1.192799833975631,0.8405415845280878]","[3.991652809304737e-07,6.018581024442345e-06,0.9319713784975048,0.06802220297839057,7.7779927584227e-10]",2
15,258d2e1f-e3e8-2612-8285-895fb96d,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.06242476629612734,0.9803141654748708,"[0.06242476629612734,0.9803141654748708]","[0.0013536686522585225,0.00824714668317611,1.2892751138595407e-16,0.9880088780919153,0.0023903065726499045]",3
16,269144fa-ef0e-c81e-52ff-df9a348a,0.1875,0.8333333333333334,0.2307692307692308,0.6923076923076923,"[0.1875,0.8333333333333334,0.2307692307692308,0.6923076923076923]",-0.5446809691169179,0.7457354185738393,"[-0.5446809691169179,0.7457354185738393]","[0.07350588973907511,0.49618062108600836,0.42701764671063425,2.76089698399242e-16,0.003295842464281951]",1
