,users,followingRatio,order,freq,pcaInput,_1,_2,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,"[0.5,0.25,0.4]",-0.02830650745121205,0.4728518293423786,3
1,0064c3fd-7e6e-425c-f754-34b889c8,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,1
2,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,"[1.0,0.5,0.14285714285714285]",-0.5176359366451287,0.8436512484855243,1
3,04745589-295d-158e-c6c0-ef24f730,0.25,1.0,1.0,"[0.25,1.0,1.0]",0.682952066317071,1.1649678961140266,2
4,04a7d779-f053-b1a3-386e-82d69979,1.0,0.8333333333333334,0.0,"[1.0,0.8333333333333334,0.0]",-0.5661021113148953,1.1278675665599227,1
5,068616a9-816f-e8e4-d737-6ddba1df,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-0.5919802111259582,0.9746667542401981,1
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]",-0.4764461369544465,1.295186301239225,1
7,0781bbba-c179-f93c-1116-8d684911,0.5,0.75,0.0,"[0.5,0.75,0.0]",-0.2312948560353219,0.8703354079194104,0
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.25,1.0,1.0,"[0.25,1.0,1.0]",0.682952066317071,1.1649678961140266,2
9,0a84077c-d3fa-56fc-803c-a863ca7e,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-0.5919802111259582,0.9746667542401981,1
10,0c9621b0-ff94-77e8-727f-5420882d,0.19999999999999998,1.0,0.5,"[0.19999999999999998,1.0,0.5]",0.36694838681395836,1.0692261478882843,2
11,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]",-0.4764461369544465,1.295186301239225,1
12,101c246c-3f77-d919-ca38-8d19141e,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,1
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.5,0.6666666666666666,0.0,"[0.5,0.6666666666666666,0.0]",-0.24423390594085337,0.7937350017595481,3
14,135b42ab-ac52-d14a-c37c-6ffeca28,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,1
15,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,"[1.0,0.3333333333333333,0.14285714285714285]",-0.5435140364561917,0.6904504361657997,3
16,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,"[1.0,1.0,0.25]",-0.36483485649302094,1.319892665368486,1
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]",-0.06884475093004183,0.8325592882483868,0
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,"[0.19999999999999998,0.8,0.8333333333333334]",0.569746873721765,0.9371508884230665,2
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,"[1.0,0.8571428571428571,0.125]",-0.47471066240790916,1.169165540135731,1
20,195b9f52-3731-37a7-2c74-19d11cb6,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,1
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.5,0.0,0.2,"[0.5,0.0,0.2]",-0.20743498117645562,0.21199118167172093,3
22,1acb1c12-47e9-e408-eaf9-8167947a,0.25,1.0,1.0,"[0.25,1.0,1.0]",0.682952066317071,1.1649678961140266,2
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.25,1.0,0.75,"[0.25,1.0,0.75]",0.5075629113062594,1.126143609625188,2
24,1beb31a1-0aea-018e-a7e1-82085ffa,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,1
25,1c09a110-d9c3-2442-9f5d-aee802c0,1.0,0.6666666666666666,0.25,"[1.0,0.6666666666666666,0.25]",-0.4165910561151467,1.0134910407290367,1
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.25,0.8571428571428571,0.5,"[0.25,0.8571428571428571,0.5]",0.30999252788596543,0.956004341148014,2
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.16666666666666666,0.8,0.8333333333333334,"[0.16666666666666666,0.8,0.8333333333333334]",0.5929299607341053,0.9250887715910232,2
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.5,0.75,0.4,"[0.5,0.75,0.4]",0.049327791981976565,0.9324542663015523,0
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.2,0.75,0.8,"[0.2,0.75,0.8]",0.5385982231103379,0.8860140731953039,2
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,1.0,0.0,0.0,"[1.0,0.0,0.0]",-0.6954926103702097,0.3618635049613001,3
31,1f7f3fd7-7087-1461-cf43-9add2172,0.3333333333333333,0.6666666666666666,0.75,"[0.3333333333333333,0.6666666666666666,0.75]",0.3978489941532829,0.8498972770658473,2
32,1f96865d-62d4-b049-1788-cfccf324,0.25,1.0,1.0,"[0.25,1.0,1.0]",0.682952066317071,1.1649678961140266,2
33,20e2fc85-7d0f-8a2c-b651-4b811a97,0.3333333333333333,0.4,0.3333333333333333,"[0.3333333333333333,0.4,0.3333333333333333]",0.0641287761042297,0.5400688332062238,3
34,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,1.0,0.9090909090909092,0.08333333333333333,"[1.0,0.9090909090909092,0.08333333333333333]",-0.49587628700323266,1.2104457282621377,1
35,258d2e1f-e3e8-2612-8285-895fb96d,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",0.44960519377540864,1.1562989017052965,2
36,269144fa-ef0e-c81e-52ff-df9a348a,0.25,0.8333333333333334,0.2307692307692308,"[0.25,0.8333333333333334,0.2307692307692308]",0.1174150280112034,0.8923077407517217,0
37,270174bf-baf8-aab4-48e3-139fcf47,0.5,0.3333333333333333,0.0,"[0.5,0.3333333333333333,0.0]",-0.2959901055629791,0.48733337712009905,3
38,27080783-250a-3521-f816-6e7b29cf,0.2,1.0,1.0,"[0.2,1.0,1.0]",0.7177266968355814,1.1468747208659615,2
39,2c1d08f2-a1ba-6915-db46-1a7721b9,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,1
40,2ee1d86b-74ed-47f3-5733-61cc4821,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.1924777063187276,1.1001366263989971,0
