,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
3,0f165b85-0670-e6ac-bf14-cf00655a,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",-1.172611272678537,-0.22592981068186735,"[-1.172611272678537,-0.22592981068186735]","[1.965157731343006e-06,7.786289764076028e-06,0.9999902485525046]",2
4,14b19a02-38a5-992d-2f4f-aebd2315,0.38461538461538464,0.3333333333333333,0.0,"[0.38461538461538464,0.3333333333333333,0.0]",-0.41438146156164213,0.2955002229849112,"[-0.41438146156164213,0.2955002229849112]","[2.331449184147391e-07,0.9999997668550809,6.76288443829273e-16]",1
5,25a03b67-3ce1-77fc-c715-72ba385a,0.9230769230769232,0.08333333333333333,0.9090909090909092,"[0.9230769230769232,0.08333333333333333,0.9090909090909092]",-1.070484144229786,-0.19903852502677344,"[-1.070484144229786,-0.19903852502677344]","[0.0008268147470570774,0.00035553094676909846,0.9988176543061739]",2
6,2888b741-780e-2c51-0772-617d7c33,1.0,0.4583333333333333,0.5833333333333334,"[1.0,0.4583333333333333,0.5833333333333334]",-1.1579296932229064,0.19869683189498444,"[-1.1579296932229064,0.19869683189498444]","[3.930411776987089e-15,0.999999998930878,1.069118122553245e-09]",1
7,2c89fe15-af0e-a900-7384-29f556d1,1.0,0.4583333333333333,1.0,"[1.0,0.4583333333333333,1.0]",-1.39540780554191,-0.13354233278372352,"[-1.39540780554191,-0.13354233278372352]","[5.410845080140104e-16,1.283624134731132e-05,0.9999871637586522]",2
8,2fba9116-a20d-ea5f-3980-a0c4226c,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]",-0.85579246985992,-0.5551742402621479,"[-0.85579246985992,-0.5551742402621479]","[0.023307959609045255,5.7842820062847597e-11,0.976692040333112]",2
9,32c9bec6-bd73-18c6-9611-148b7b0e,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",-1.0581482207406663,-0.39706227495773877,"[-1.0581482207406663,-0.39706227495773877]","[0.021175427028601267,1.874579314904394e-08,0.9788245542256055]",2
10,3469f507-2f62-0e43-70e8-0c4bc6e3,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.276142482257515,-0.11375777619771754,"[-1.276142482257515,-0.11375777619771754]","[3.7192515959482986e-12,0.00019768492329136692,0.9998023150729894]",2
11,3db3466c-e5e5-3bc2-d72b-8fa46cd2,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]",-1.450124977195825,-0.1850533620518129,"[-1.450124977195825,-0.1850533620518129]","[7.404428245487763e-16,2.9342628526601685e-06,0.9999970657371465]",2
12,427905ff-8519-fc73-90ee-17ecae10,0.38461538461538464,0.3333333333333333,0.75,"[0.38461538461538464,0.3333333333333333,0.75]",-0.8418420637358484,-0.3025302734367632,"[-0.8418420637358484,-0.3025302734367632]","[0.9906632316408359,3.403577223483263e-06,0.009333364781940558]",0
13,461e7201-9b62-2da4-aca6-9bc7e2aa,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-1.0774881403409653,-0.4385096902055529,"[-1.0774881403409653,-0.4385096902055529]","[0.026837875718376022,4.26474722324019e-09,0.9731621200168767]",2
14,4fa0f410-5265-9be6-be9d-778ee66d,0.38461538461538464,0.3333333333333333,0.75,"[0.38461538461538464,0.3333333333333333,0.75]",-0.8418420637358484,-0.3025302734367632,"[-0.8418420637358484,-0.3025302734367632]","[0.9906632316408359,3.403577223483263e-06,0.009333364781940558]",0
15,52656cee-d479-aed9-c14a-94a33208,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.8911697219135356,-0.565237854282423,"[-0.8911697219135356,-0.565237854282423]","[0.0274677209430822,3.8257956445809665e-11,0.9725322790186598]",2
16,54ec8d85-fcb4-2695-6332-e8c53e6e,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]",-1.450124977195825,-0.1850533620518129,"[-1.450124977195825,-0.1850533620518129]","[7.404428245487763e-16,2.9342628526601685e-06,0.9999970657371465]",2
17,57fbd139-416d-e97c-42e1-e3d21786,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-1.0774881403409653,-0.4385096902055529,"[-1.0774881403409653,-0.4385096902055529]","[0.026837875718376022,4.26474722324019e-09,0.9731621200168767]",2
18,5a064204-6bd4-8b83-adec-4f0196a2,0.38461538461538464,0.02083333333333333,1.0,"[0.38461538461538464,0.02083333333333333,1.0]",-0.7915242392262546,-0.5818244742712279,"[-0.7915242392262546,-0.5818244742712279]","[0.0035860551003540943,2.1111061853588254e-11,0.9964139448785349]",2
19,5bb4be5d-066c-8d6b-ec52-55325830,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.5983580630444683,-0.34208689695398453,"[-0.5983580630444683,-0.34208689695398453]","[0.9999887334709714,2.730058443923479e-06,8.536470584607251e-06]",0
20,5de63720-f52d-3d98-8315-9cffae99,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",-0.9843289311272505,-0.501873772243988,"[-0.9843289311272505,-0.501873772243988]","[0.09333214275743669,4.2515137877767373e-10,0.906667856817412]",2
21,6ba67821-cac2-1015-fa83-7a8546b6,0.8461538461538461,0.14583333333333334,0.9,"[0.8461538461538461,0.14583333333333334,0.9]",-1.0621191172707878,-0.2178434249504156,"[-1.0621191172707878,-0.2178434249504156]","[0.0018430403942143883,0.0001399838186715388,0.9980169757871141]",2
22,6cb1567b-ce14-1c63-5c79-2d56cd65,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",-1.3569657679821099,-0.2484174440902479,"[-1.3569657679821099,-0.2484174440902479]","[8.363648018967212e-11,8.309037588779872e-07,0.9999991690126047]",2
23,76223a87-2695-2b9d-ac3d-b8a7f469,1.0,1.0,1.0,"[1.0,1.0,1.0]",-1.7296026048369695,0.005038884063492288,"[-1.7296026048369695,0.005038884063492288]","[4.07178442603381e-16,3.0015079319243488e-05,0.9999699849206805]",2
