,users,followingRatio,order,freq,features,probability,prediction
164,bf2d4ca4-7b76-c83f-c25b-69db4d40,0.5,1.0,0.0,"[0.5,1.0,0.0]","[3.342012704947762e-08,1.0666577208237537e-08,1.8659230875471536e-23,0.9999999559132957]",3
165,c0a279eb-433f-7d20-4fe4-30c7bf1d,1.0,0.3333333333333333,0.0,"[1.0,0.3333333333333333,0.0]","[0.9998510354757707,0.00014896452422153228,3.850779203472917e-15,3.850779203472917e-15]",0
166,c0e4f1b6-286e-9a62-9b55-08b882ec,0.1,1.0,0.2307692307692308,"[0.1,1.0,0.2307692307692308]","[1.4704720905853937e-06,1.2047685013637529e-06,2.4053087509748472e-21,0.9999973247594081]",3
167,c0f2c451-9f22-3dc5-b0ab-d6747910,1.0,1.0,0.1,"[1.0,1.0,0.1]","[0.9907402107387324,2.5710839814685007e-07,4.0244692505025554e-16,0.009259532152869027]",0
168,c1b850ff-362a-890f-0c23-014773bb,0.5,1.0,0.16666666666666666,"[0.5,1.0,0.16666666666666666]","[2.5607177855611253e-08,2.338347830060551e-08,1.6378451364434304e-23,0.9999999510093438]",3
169,c24334a0-477a-6656-021d-668ba57f,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
170,c3385c79-a01d-377d-9eac-6cf460e9,0.5,1.0,0.125,"[0.5,1.0,0.125]","[3.592015728680746e-08,2.0555691655202236e-08,1.625194699781002e-23,0.999999943524151]",3
171,c9f74898-df82-973e-76ca-08186d7c,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]","[0.9953217103462387,2.1313384652062457e-07,6.36611668680962e-16,0.004678076519914047]",0
172,cc1e5f29-a1bd-4a13-5c8d-dbcaa11b,0.5,1.0,0.16666666666666666,"[0.5,1.0,0.16666666666666666]","[2.5607177855611253e-08,2.338347830060551e-08,1.6378451364434304e-23,0.9999999510093438]",3
173,ce280b9f-f7cf-eef4-dd34-fdc44bfe,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]","[0.09827434826051837,0.9017256517394814,1.0885612988938373e-16,1.0885612988938373e-16]",1
174,ce4913ec-b21e-60b6-d455-4bc5b2b4,0.3333333333333333,0.6666666666666666,0.75,"[0.3333333333333333,0.6666666666666666,0.75]","[2.1213815432888772e-14,5.204840297763647e-05,0.9999479515970011,3.207997415715119e-19]",2
175,ceff0481-0e5a-e1d8-5361-b5ba2a52,0.14285714285714288,0.875,0.5555555555555556,"[0.14285714285714288,0.875,0.5555555555555556]","[2.0916838913387564e-06,0.999997908316108,3.0728482786426205e-16,3.0728482786426205e-16]",1
176,cf23b843-3219-15e7-f878-361bbfeb,1.0,0.8,0.16666666666666666,"[1.0,0.8,0.16666666666666666]","[0.9999991278465752,8.721534239734553e-07,4.1763033149431494e-16,4.1763033149431494e-16]",0
177,d0fe3bbe-eeeb-e784-986f-51c01c74,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]","[1.1405526873179191e-23,4.138791544559586e-11,1.1405525044810272e-23,0.9999999999586121]",3
178,d2a78c5a-c501-ea53-1bcf-2fedb47d,0.14285714285714288,0.5,0.4444444444444444,"[0.14285714285714288,0.5,0.4444444444444444]","[0.0013163159883197433,0.9986836840116796,2.8199361316323837e-16,2.8199361316323837e-16]",1
179,d41a406c-81b7-dca2-962a-a408e155,1.0,1.0,0.25,"[1.0,1.0,0.25]","[0.9961921724049267,2.7407403293869984e-07,2.3774823648938648e-15,0.0038075535210378994]",0
180,d424420a-72ee-7166-ac7e-9b96c0e6,0.2,0.7142857142857143,0.125,"[0.2,0.7142857142857143,0.125]","[0.44883498805836475,0.5511650119416349,1.4949919082857247e-16,1.4949919082857247e-16]",1
181,d4ca59b9-1058-6388-4cc5-e58c2290,0.16666666666666666,1.0,0.8333333333333334,"[0.16666666666666666,1.0,0.8333333333333334]","[4.182922457250361e-23,1.0696214833926617e-09,1.0132254225544953e-23,0.9999999989303784]",3
182,d5d7fee4-5428-bea3-17aa-30fb97f1,0.33333333333333337,0.75,0.0,"[0.33333333333333337,0.75,0.0]","[0.3163343501245353,0.6836656498754643,1.8729859268005192e-16,1.8729859268005192e-16]",1
183,d6458839-e410-c16f-44d7-7aad9b6b,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]","[0.9894715692103809,2.708236857855469e-07,3.937271040933111e-16,0.010528159965932938]",0
184,d80b6775-ae61-8dae-98ce-99412037,1.0,1.0,0.25,"[1.0,1.0,0.25]","[0.9961921724049267,2.7407403293869984e-07,2.3774823648938648e-15,0.0038075535210378994]",0
185,d89aba44-424b-9d5d-5dd4-f1fbabf1,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]","[0.9894715692103809,2.708236857855469e-07,3.937271040933111e-16,0.010528159965932938]",0
