,users,followingRatio,order,freq,features,probability,prediction
0,Aleksandra,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]","[0.5000000000000459,0.49999999999995415]",0
1,alma,0.5,1.0,0.0,"[0.5,1.0,0.0]","[0.5000000000000712,0.49999999999992895]",0
2,AndrejaN,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
3,anja menih,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
4,anja.r,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.5000000000000694,0.4999999999999305]",0
5,Annie Cornu,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
6,babao,0.16666666666666666,0.5833333333333334,0.0,"[0.16666666666666666,0.5833333333333334,0.0]","[0.4999999999992993,0.5000000000007008]",1
7,Bor,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]","[0.4999999999999795,0.5000000000000205]",1
8,BorutKolar,0.5,1.0,0.0,"[0.5,1.0,0.0]","[0.5000000000000712,0.49999999999992895]",0
9,David Sirk,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.5000000000000694,0.4999999999999305]",0
10,Dra��en Kralj,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]","[0.5000000000000465,0.49999999999995337]",0
11,Gaja,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
12,Hrvoje Petek,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]","[0.5000000000000465,0.49999999999995337]",0
13,Ivana Kozina,0.3333333333333333,0.9166666666666666,0.0,"[0.3333333333333333,0.9166666666666666,0.0]","[0.5000000000000516,0.4999999999999484]",0
14,Jelenaa,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]","[0.5000000000000459,0.49999999999995415]",0
15,Jolanda,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
16,Katja De Faveri,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
17,Kopacin,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
18,Ksenija,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
19,Lejla,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
20,Marco,0.3333333333333333,0.8333333333333334,0.0,"[0.3333333333333333,0.8333333333333334,0.0]","[0.49999999999996475,0.5000000000000353]",1
21,Maru��aaaa,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
22,Matea Pavicic,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.5000000000000681,0.499999999999932]",0
23,miranF,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
24,Nada,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
25,Nikolaj,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
26,Nina1,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
27,NinaP,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[0.49999999999954786,0.5000000000004521]",1
28,noordung,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
29,p2035e,0.5,1.0,0.0,"[0.5,1.0,0.0]","[0.5000000000000712,0.49999999999992895]",0
30,Paval,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.5000000000000694,0.4999999999999305]",0
31,poppy,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]","[0.5000000000000512,0.4999999999999488]",0
32,roman113,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
33,Safet,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.5000000000000694,0.4999999999999305]",0
34,Spasic Vladimir,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[0.5000000000000694,0.4999999999999305]",0
35,stinfio,0.2,0.9166666666666666,0.0,"[0.2,0.9166666666666666,0.0]","[0.5000000000000508,0.4999999999999492]",0
36,Tone,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[0.49999999999954786,0.5000000000004521]",1
37,Toni Petkovic,0.16666666666666666,1.0,0.0,"[0.16666666666666666,1.0,0.0]","[0.5000000000000663,0.49999999999993366]",0
38,Valentin,0.5,0.9166666666666666,0.0,"[0.5,0.9166666666666666,0.0]","[0.5000000000000511,0.4999999999999489]",0
39,Vanda,0.5,0.75,0.0,"[0.5,0.75,0.0]","[0.49999999999980443,0.5000000000001956]",1
40,varga,0.19999999999999998,1.0,0.0,"[0.19999999999999998,1.0,0.0]","[0.500000000000067,0.49999999999993294]",0
41,Vedran Nikolic,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.500000000000067,0.4999999999999331]",0
42,��S,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[0.49999999999954786,0.5000000000004521]",1
