,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,"[0.125,0.25,0.4]",0.3618669088454512,0.22384892096849965,"[0.3618669088454512,0.22384892096849965]","[7.683641801617572e-16,7.683641801617572e-16,0.9999999999999984]",2
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]",0.08552521529296153,1.072047209826335,"[0.08552521529296153,1.072047209826335]","[6.452344249965148e-17,0.979712791442559,0.020287208557440994]",1
2,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,"[0.5,0.5,0.14285714285714285]",0.04662276011254528,0.6106228917176225,"[0.04662276011254528,0.6106228917176225]","[2.617519864933459e-16,2.617519864933459e-16,0.9999999999999994]",2
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]","[0.9999836794629448,2.8878778754135384e-13,1.6320536766456037e-05]",0
4,04a7d779-f053-b1a3-386e-82d69979,0.5,0.8333333333333334,0.0,"[0.5,0.8333333333333334,0.0]",0.007982200191088695,0.9419494589730129,"[0.007982200191088695,0.9419494589730129]","[1.5984293618226282e-15,0.00025085516766332433,0.999749144832335]",2
5,068616a9-816f-e8e4-d737-6ddba1df,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",0.06852386702313423,0.7058659973173625,"[0.06852386702313423,0.7058659973173625]","[2.934553402185207e-16,2.934596201345636e-16,0.9999999999999994]",2
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]",-0.0077361149328272205,1.1929868509626018,"[-0.0077361149328272205,1.1929868509626018]","[1.7612079432094241e-16,0.993349186943893,0.006650813056106845]",1
7,0781bbba-c179-f93c-1116-8d684911,0.125,0.75,0.0,"[0.125,0.75,0.0]",0.14181654505755026,0.7444184450434416,"[0.14181654505755026,0.7444184450434416]","[2.478369190307034e-16,1.0028620946293621e-13,0.9999999999998995]",2
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]","[0.9999836794629448,2.8878778754135384e-13,1.6320536766456037e-05]",0
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",0.06852386702313423,0.7058659973173625,"[0.06852386702313423,0.7058659973173625]","[2.934553402185207e-16,2.934596201345636e-16,0.9999999999999994]",2
