,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.4,5.0,0.6,0.0,0.8,0.2,0.2,0.0,0.6,"[0.4,0.6,0.0,0.8,0.2,0.2,0.0,0.6]",0.35348312262884946,-0.4936103476212519,"[0.35348312262884946,-0.4936103476212519]","[0.9999999999253333,7.466627330661759e-11,5.537393269686486e-16]",0
1,0064c3fd-7e6e-425c-f754-34b889c8,0.0,6.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.16666666666666666,0.0,"(8,[2,3,5,6],[1.0,1.0,0.6666666666666666,0.16666666666666666])",0.7927731461920755,0.6346876957287124,"[0.7927731461920755,0.6346876957287124]","[8.225310207979019e-08,0.07449593286263238,0.9255039848842656]",2
2,037820a7-a143-422c-3ebd-3553d373,0.14285714285714285,7.0,0.8571428571428571,0.0,1.0,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,"[0.14285714285714285,0.8571428571428571,0.0,1.0,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855]",0.7440415894993094,-0.636667276404051,"[0.7440415894993094,-0.636667276404051]","[0.187994222676855,1.6769245746191887e-16,0.8120057773231448]",2
3,04745589-295d-158e-c6c0-ef24f730,1.0,4.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.75])",-1.0440365784742387,-0.14093905567449028,"[-1.0440365784742387,-0.14093905567449028]","[2.042120086342061e-07,0.9999997957879909,5.02535279184604e-16]",1
4,04a7d779-f053-b1a3-386e-82d69979,0.0,7.0,0.0,1.0,1.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,"[0.0,0.0,1.0,1.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285]",0.8025984574589519,0.6567591058091738,"[0.8025984574589519,0.6567591058091738]","[4.457206783883921e-08,0.08406705631788902,0.915932899110043]",2
5,068616a9-816f-e8e4-d737-6ddba1df,0.0,4.0,0.0,1.0,1.0,0.0,0.5,0.0,0.25,"(8,[2,3,5,7],[1.0,1.0,0.5,0.25])",0.8174871489384505,0.6419342364529051,"[0.8174871489384505,0.6419342364529051]","[6.554098332687635e-08,0.11182645460490279,0.888173479854114]",2
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.09090909090909091,11.0,0.9090909090909091,0.0,1.0,0.0,0.9090909090909091,0.0,0.0,"(8,[0,1,3,5],[0.09090909090909091,0.9090909090909091,1.0,0.9090909090909091])",0.7438357519917393,-0.7089506869352984,"[0.7438357519917393,-0.7089506869352984]","[0.23660952022128406,2.10658730760392e-16,0.7633904797787157]",2
7,0781bbba-c179-f93c-1116-8d684911,0.0,5.0,0.0,1.0,0.8,0.2,0.2,0.4,0.2,"[0.0,0.0,1.0,0.8,0.2,0.2,0.4,0.2]",0.5688520840962914,0.7169932902961037,"[0.5688520840962914,0.7169932902961037]","[1.2810217635513609e-05,0.9999871897823635,1.02423400972106e-15]",1
8,08ee9ac0-7656-2b25-ce41-b44d758e,1.0,4.0,0.0,0.0,0.0,1.0,0.5,0.25,0.0,"(8,[0,4,5,6],[1.0,1.0,0.5,0.25])",-1.0477415594433535,-0.11436060717246724,"[-1.0477415594433535,-0.11436060717246724]","[2.827104537443803e-07,0.9999997172895458,4.915208479467759e-16]",1
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.0,4.0,0.0,1.0,1.0,0.0,0.25,0.25,0.25,"[0.0,0.0,1.0,1.0,0.0,0.25,0.25,0.25]",0.8137821679693357,0.6685126849549282,"[0.8137821679693357,0.6685126849549282]","[3.435745439194105e-08,0.10744156153780987,0.8925584041047357]",2
10,0c9621b0-ff94-77e8-727f-5420882d,1.0,6.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.8333333333333334])",-1.0453447361913515,-0.14659855289877022,"[-1.0453447361913515,-0.14659855289877022]","[1.8174241784522275e-07,0.9999998182575817,5.07890546218721e-16]",1
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.09090909090909091,11.0,0.9090909090909091,0.0,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0,"[0.09090909090909091,0.9090909090909091,0.0,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0]",0.7424884861847886,-0.6992857965709264,"[0.7424884861847886,-0.6992857965709264]","[0.21992162174205798,1.9410854035700756e-16,0.7800783782579418]",2
12,101c246c-3f77-d919-ca38-8d19141e,0.0,4.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,"(8,[2,3,5],[1.0,1.0,0.75])",0.7965512912219316,0.622628227284977,"[0.7965512912219316,0.622628227284977]","[9.693779718950734e-08,0.06904837254421095,0.9309515305179918]",2
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.0,4.0,0.0,1.0,0.75,0.25,0.25,0.25,0.25,"[0.0,0.0,1.0,0.75,0.25,0.25,0.25,0.25]",0.5166133815718309,0.7182507304650722,"[0.5166133815718309,0.7182507304650722]","[3.3321419909337846e-05,0.9999666785800897,1.0312575422968294e-15]",1
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.0,8.0,0.0,1.0,1.0,0.0,0.875,0.0,0.0,"(8,[2,3,5],[1.0,1.0,0.875])",0.7945890546462624,0.6141389814485572,"[0.7945890546462624,0.6141389814485572]","[1.187471791333088e-07,0.0656695772296638,0.9343303040231571]",2
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.14285714285714285,7.0,0.8571428571428571,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,"[0.14285714285714285,0.8571428571428571,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714]",0.7560049367658916,-0.625635271165235,"[0.7560049367658916,-0.625635271165235]","[0.27742823515183734,2.615454389877127e-16,0.7225717648481623]",2
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,4.0,0.75,0.0,1.0,0.0,0.25,0.5,0.0,"[0.25,0.75,0.0,1.0,0.0,0.25,0.5,0.0]",0.6336266311046693,-0.5822946781894707,"[0.6336266311046693,-0.5822946781894707]","[0.9986467462401031,1.6030679896273204e-15,0.0013532537598953248]",0
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.25,4.0,0.5,0.25,0.75,0.25,0.25,0.25,0.25,"[0.25,0.5,0.25,0.75,0.25,0.25,0.25,0.25]",0.3586108557769633,-0.2006790932705939,"[0.3586108557769633,-0.2006790932705939]","[0.9999942181804667,5.7818195328366445e-06,5.001545412798176e-16]",0
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.8333333333333334,6.0,0.16666666666666666,0.0,0.0,1.0,0.5,0.16666666666666666,0.16666666666666666,"[0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.5,0.16666666666666666,0.16666666666666666]",-0.923546812598167,-0.1816889894473473,"[-0.923546812598167,-0.1816889894473473]","[2.2786684909381234e-06,0.9999977213315085,6.123480438424416e-16]",1
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.125,8.0,0.875,0.0,1.0,0.0,0.75,0.0,0.125,"[0.125,0.875,0.0,1.0,0.0,0.75,0.0,0.125]",0.732275289646676,-0.6835478726923812,"[0.732275289646676,-0.6835478726923812]","[0.164359763796377,1.4012350089378168e-16,0.8356402362036228]",2
20,195b9f52-3731-37a7-2c74-19d11cb6,0.0,7.0,0.0,1.0,1.0,0.0,0.5714285714285714,0.2857142857142857,0.0,"(8,[2,3,5,6],[1.0,1.0,0.5714285714285714,0.2857142857142857])",0.7906351101923695,0.6457271005703578,"[0.7906351101923695,0.6457271005703578]","[7.008412467626758e-08,0.08050500566348483,0.9194949242523905]",2
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.2,5.0,0.0,0.8,0.8,0.2,0.0,0.0,0.8,"[0.2,0.0,0.8,0.8,0.2,0.0,0.0,0.8]",0.4946435673452906,0.5282983016958858,"[0.4946435673452906,0.5282983016958858]","[0.0009231096265416603,0.9990768903734576,7.991495484759098e-16]",1
22,1acb1c12-47e9-e408-eaf9-8167947a,1.0,4.0,0.0,0.0,0.0,1.0,0.5,0.25,0.0,"(8,[0,4,5,6],[1.0,1.0,0.5,0.25])",-1.0477415594433535,-0.11436060717246724,"[-1.0477415594433535,-0.11436060717246724]","[2.827104537443803e-07,0.9999997172895458,4.915208479467759e-16]",1
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.75,4.0,0.0,0.25,0.0,1.0,0.5,0.25,0.0,"[0.75,0.0,0.25,0.0,1.0,0.5,0.25,0.0]",-0.884763378416816,0.12626925907754358,"[-0.884763378416816,0.12626925907754358]","[0.00031149814741182673,0.9996885018525875,7.013136540924922e-16]",1
24,1beb31a1-0aea-018e-a7e1-82085ffa,0.0,4.0,0.0,1.0,1.0,0.0,0.25,0.5,0.0,"(8,[2,3,5,6],[1.0,1.0,0.25,0.5])",0.7891413292837017,0.6757851242890232,"[0.7891413292837017,0.6757851242890232]","[4.081710281462164e-08,0.09485519580580126,0.9051447633770959]",2
25,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,4.0,0.75,0.0,1.0,0.0,0.5,0.0,0.25,"[0.25,0.75,0.0,1.0,0.0,0.5,0.0,0.25]",0.6619724507594181,-0.6161455660255887,"[0.6619724507594181,-0.6161455660255887]","[0.8886538991409136,6.806710295873084e-16,0.11134610085908576]",0
